CLIENTE;EMISSAO;DT.SAIDA;C.E.P.;UF;CEP.ENTR.;UFE
06065-7;03/04/2024;03/04/2024;13092-108;SP;13092-108;SP
06082-2;15/01/2024;15/01/2024;18110-650;SP;18110-650;SP
06084-8;18/01/2024;18/01/2024;04028-003;SP;04028-003;SP
06084-8;07/02/2024;07/02/2024;04028-003;SP;04028-003;SP
06086-3;25/01/2024;25/01/2024;06768-200;SP;06768-200;SP
06088-9;31/01/2024;31/01/2024;09531-190;SP;09531-190;SP
06088-9;20/02/2024;20/02/2024;09531-190;SP;09531-190;SP
06088-9;28/02/2024;28/02/2024;09531-190;SP;09531-190;SP
06088-9;27/03/2024;27/03/2024;09531-190;SP;09531-190;SP
06102-8;05/01/2024;05/01/2024;04795-000;SP;04795-000;SP
06102-8;20/03/2024;20/03/2024;04795-000;SP;04795-000;SP
06112-7;13/02/2024;13/02/2024;04046-300;SP;04046-300;SP
06124-2;12/01/2024;12/01/2024;06454-000;SP;06454-000;SP
06124-2;08/02/2024;08/02/2024;06454-000;SP;06454-000;SP
