CLIENTE;EMISSAO;DT.SAIDA;C.E.P.;UF;CEP.ENTR.;UFE
04972-6;20/02/2024;20/02/2024;04144-000;SP;04144-000;SP
04982-5;19/02/2024;19/02/2024;04085-000;SP;04085-000;SP
04985-8;03/01/2024;03/01/2024;11250-003;SP;11250-003;SP
04985-8;17/01/2024;17/01/2024;11250-003;SP;11250-003;SP
04985-8;31/01/2024;31/01/2024;11250-003;SP;11250-003;SP
04985-8;02/02/2024;02/02/2024;11250-003;SP;11250-003;SP
04985-8;26/03/2024;26/03/2024;11250-003;SP;11250-003;SP
04993-2;04/01/2024;04/01/2024;01416-002;SP;01416-002;SP
04993-2;12/01/2024;12/01/2024;01416-002;SP;01416-002;SP
04993-2;25/01/2024;25/01/2024;01416-002;SP;01416-002;SP
04993-2;06/02/2024;06/02/2024;01416-002;SP;01416-002;SP
04993-2;09/02/2024;09/02/2024;01416-002;SP;01416-002;SP
04993-2;22/02/2024;22/02/2024;01416-002;SP;01416-002;SP
04993-2;22/03/2024;22/03/2024;01416-002;SP;01416-002;SP
04994-0;11/01/2024;11/01/2024;01453-011;SP;01453-011;SP
04994-0;23/01/2024;23/01/2024;01453-011;SP;01453-011;SP
04994-0;25/01/2024;25/01/2024;01453-011;SP;01453-011;SP
04994-0;05/02/2024;05/02/2024;01453-011;SP;01453-011;SP
04994-0;26/02/2024;26/02/2024;01453-011;SP;01453-011;SP
04994-0;01/03/2024;01/03/2024;01453-011;SP;01453-011;SP
04998-1;31/01/2024;31/01/2024;04710-220;SP;04710-220;SP
04998-1;20/03/2024;20/03/2024;04710-220;SP;04710-220;SP
05004-7;05/01/2024;05/01/2024;08710-440;SP;08710-440;SP
05004-7;20/02/2024;20/02/2024;08710-440;SP;08710-440;SP
05004-7;15/03/2024;15/03/2024;08710-440;SP;08710-440;SP
05004-7;22/03/2024;22/03/2024;08710-440;SP;08710-440;SP
05006-2;04/01/2024;04/01/2024;01453-011;SP;01453-011;SP
05006-2;05/01/2024;05/01/2024;01453-011;SP;01453-011;SP
05006-2;05/02/2024;05/02/2024;01453-011;SP;01453-011;SP
05006-2;07/02/2024;07/02/2024;01453-011;SP;01453-011;SP
05006-2;04/03/2024;04/03/2024;01453-011;SP;01453-011;SP
05006-2;21/03/2024;21/03/2024;01453-011;SP;01453-011;SP
05007-0;04/01/2024;04/01/2024;03322-001;SP;03322-001;SP
05007-0;05/01/2024;05/01/2024;03322-001;SP;03322-001;SP
05007-0;16/01/2024;16/01/2024;03322-001;SP;03322-001;SP
05007-0;07/02/2024;07/02/2024;03322-001;SP;03322-001;SP
05007-0;19/02/2024;19/02/2024;03322-001;SP;03322-001;SP
05007-0;21/03/2024;21/03/2024;03322-001;SP;03322-001;SP
05007-0;21/03/2024;21/03/2024;03322-001;SP;03322-001;SP
05016-1;26/01/2024;26/01/2024;08275-080;SP;08275-080;SP
05016-1;21/03/2024;21/03/2024;08275-080;SP;08275-080;SP
05019-5;15/01/2024;15/01/2024;02340-002;SP;02340-002;SP
05019-5;29/01/2024;29/01/2024;02340-002;SP;02340-002;SP
05019-5;05/02/2024;05/02/2024;02340-002;SP;02340-002;SP
05019-5;05/02/2024;05/02/2024;02340-002;SP;02340-002;SP
05019-5;14/02/2024;14/02/2024;02340-002;SP;02340-002;SP
05019-5;19/02/2024;19/02/2024;02340-002;SP;02340-002;SP
05019-5;19/02/2024;19/02/2024;02340-002;SP;02340-002;SP
05019-5;26/02/2024;26/02/2024;02340-002;SP;02340-002;SP
05019-5;04/03/2024;04/03/2024;02340-002;SP;02340-002;SP
05019-5;04/03/2024;04/03/2024;02340-002;SP;02340-002;SP
05019-5;11/03/2024;11/03/2024;02340-002;SP;02340-002;SP
05019-5;18/03/2024;18/03/2024;02340-002;SP;02340-002;SP
05019-5;18/03/2024;18/03/2024;02340-002;SP;02340-002;SP
